title,published_date
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री विन्ध्यवासिनी माध्यमिक विद्यालय पोखरा १६),2025-07-17 13:37:00
सम्पति विवरण बुझाउने सम्बन्धी सूचना !,2025-07-15 16:25:00
रिक्त पदमा उम्मेदवार छनौट गरिएको  सूचना !,2025-07-14 16:01:00
चिकित्सा शिक्षाको अध्ययन छात्रवृत्ति सम्बन्धी नतिजा प्रकाशन गरिएको सूचना।,2025-07-09 12:41:00
"स्थानीय सेवा (गठन तथा सञ्चालन) ऐन, २०७९ बमोजिम तह / स्तर वृद्धि गर्ने सम्बन्धी सूचना।",2025-07-08 18:38:00
नतिजा प्रकाशन (SEE Graduates for Grade 11),2025-07-06 09:30:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा २४),2025-07-03 13:10:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री कृष्ण माध्यमिक विद्यालय, पोखरा ७)",2025-07-03 10:23:00
सार्वजनिक सुनुवाई कार्यक्रम सम्बन्धी सूचना।,2025-07-01 18:09:00
कक्षा-११ विद्यार्थी भर्ना तथा प्रवेश परीक्षा सम्बन्धमा।,2025-06-28 10:56:00
Scholarship Notice for SEE Graduates,2025-06-28 01:21:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री सिमला आधारभूत विद्यालय, पोखरा १३)",2025-06-27 15:17:00
चिकित्सा शिक्षाको छात्रवृत्तिमा आवेदन पेस गर्ने सम्बन्धी सूचना!,2025-06-10 17:10:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री अन्नपूर्ण आधारभूत विद्यालय, पोखरा ६)",2025-06-04 14:29:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री  गौरीशंकार आधारभूत विद्यालय, पोखरा २५)",2025-06-03 16:30:00
विपन्न नागरिक उपचार कोष बमोजिम उपचार सिफारिस भएका विपन्न नागरिकको विवरण (२०८२ वैशाख),2025-06-02 17:11:00
१५ औँ कास्की जिल्ला स्तरीय राष्ट्रपति रनिङ शिल्ड प्रतियोगिताको लागि पालिका खेलाडी छनोट प्रतियोगितामा सहभागी पठाइ दिने सम्बन्धी अत्यन्त जरुरी सूचना !,2025-06-01 15:26:00
पदपूर्ति सम्बन्धी सूचना !,2025-05-22 18:09:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री त्रिभुवन शान्ति माध्यमिक विद्यालय, पोखरा ३०)",2025-05-20 13:31:00
पोखरा महानगपालिका भवन नियमित तथा अभिलेखिकरण सम्बन्धी अत्यन्त जरुरी सूचना !!!,2025-05-20 13:16:00
सीप विकास सञ्चालन गर्न प्रस्ताव पेश सम्बन्धी सूचना,2025-05-15 17:15:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री तालवारही माध्यमिक विद्यालय, पोखरा ६)",2025-05-06 17:27:00
ग्रेड वृद्धि पूरक परिक्षा-२०८१ को परीक्षा केन्द्र एवं समय तालिका सम्बन्धमा।,2025-05-01 07:09:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा २८),2025-04-29 12:56:00
"स्वतः प्रकाशन (२०८१ माघ १ गते देखि २०८१ चैत्र मसान्त सम्म) सूचनाको हक सम्बन्धी ऐन, २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको सूचना विवरण।",2025-04-28 17:45:00
विद्यालय सञ्चालन सम्बन्धमा।,2025-04-28 12:41:00
विपन्न नागरिक उपचार कोष बमोजिम उपचार सिफारिस भएका विपन्न नागरिकको विवरण (२०८१ चैत्र),2025-04-23 14:32:00
ग्रेड वृद्धि पूरक परिक्षा-२०८१ को परीक्षा स्थगित गरिएको सम्बन्धमा।,2025-04-22 10:57:00
नयाँ शैक्षिक सत्र मिति २०८२/०१/११ गते बिहीबारबाट सुचारु गराउने सम्बन्धी शिक्षा महाशाखाको सूचना ।,2025-04-20 10:54:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री विन्द्यवासिनी माध्यमिक विद्यालय, पोखरा १६)",2025-04-20 10:44:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा ३३),2025-04-17 16:51:00
"परामर्श सेवामा जनशक्ति खरिद सम्बन्धी सूचना, शिशुवा अस्पताल (दोस्रोपटक प्रकाशित सूचना)",2025-04-16 10:53:00
"परामर्श सेवामा जनशक्ति खरिद सम्बन्धी सूचना, शिशुवा अस्पताल",2025-04-13 10:52:00
पुनर्योगको नतिजा प्रकाशन सम्बन्धमा (कक्षा ८) - शिक्षा महाशाखा,2025-04-09 11:14:00
"रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री ज्ञानज्योति माध्यमिक विद्यालय, पोखरा १६)",2025-04-08 10:09:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा १),2025-04-02 14:16:00
विपन्न नागरिक उपचार कोष बमोजिम उपचार सिफारिस भएका विपन्न नागरिकको विवरण (आ.व. २०८१/०८२ - फागुन सम्म),2025-03-20 14:34:00
पोखरा महानगरपालिका क्षेत्र भित्र अनुमति बिना मेशिन चलाउने कार्य बन्द गरिएको सम्बन्धी सूचना।,2025-02-18 15:49:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा २८),2025-02-18 15:43:00
भ्रमर्ण बर्ष २०२५ घोषणा सभामा अनिवार्य उपस्थित हुने बारे ।,2025-02-14 15:14:00
न्यूनतम रोजगारीमा संलग्न हुनको लागि निवेदन पेस गर्ने सम्बन्धी सूचना।,2025-02-14 14:01:00
निर्देशन सम्बन्धमा (शिक्षा महाशाखा),2025-02-11 13:23:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री तालवाराही मा.वि.),2025-02-10 15:14:00
ध्वनि प्रदूषण हुने कुनैपनि प्रकारका अवाञ्छित क्रियाकलापहरू नगर्न/नगराउनुहुन पोखरा महानगरपालिकाको अनुरोध!,2025-02-09 20:39:00
‘पोखरा भ्रमण वर्ष २०२५’ अवधि भर पर्यटन प्रवर्द्धन तथा पर्यटकहरूका लागि दिन/पस्कन सक्ने पर्यटन प्याकेजहरू उपलब्ध गराउने सम्बन्धी सूचना !,2025-02-09 20:36:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री संस्कृत मा.वि.),2025-02-08 10:24:00
"स्वतः प्रकाशन (२०८१ कार्तिक १ देखि पौष मसान्तसम्म)  सूचनाको हक सम्बन्धी ऐन, २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको सूचना विवरण।",2025-01-28 12:55:00
"रिक्त पदम स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री वीर आधारभूत विद्यालय, पोखरा-२७)",2025-01-26 18:49:00
सेप्टिक ट्याङ्क तथा सोकपिट निर्माण/सुधार गर्ने ३५ दिने सार्वजनिक सूचना !,2025-01-26 15:43:00
पोखरा महानगरपालिकाको कर्मचारी पदपूर्ति सम्बन्धी सूचना !,2025-01-25 11:00:00
जल स्रोतको मुहान दर्ता सम्बन्धमा दाबी विरोध पेस गर्ने सम्बन्धी सूचना ।,2025-01-24 12:06:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना।,2025-01-23 15:00:00
पोखरा महानगर स्थित सम्पूर्ण संस्थागत विद्यालयहरूले विवरण उपलब्ध गराउने सम्बन्धी सूचना।,2025-01-20 15:34:00
कक्षा  ८ को परीक्षा केन्द्र  बारेको जरुरी सूचना,2025-01-16 16:28:00
सेवा करारमा ब्रुमर चालक भर्ना सम्बन्धी सूचना ( दोस्रो पटक प्रकाशित),2025-01-09 15:11:00
तह/ स्तर बृद्धि समबन्धि सूचना,2025-01-08 15:51:00
सार्वजनिक जानकारीका लागि पोखरा महानगरपालिकाको सूचना,2025-01-08 15:49:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शान्ति उदय मा.वि),2025-01-07 12:29:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री जन्मभूमि आ.वि),2025-01-06 15:41:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री जानकी मा.वि),2025-01-06 15:40:00
महानगरस्तरिय परीक्षा सञ्चालन सम्बन्धमा,2025-01-05 16:55:00
NOTICE OF INTENT (Date of Publication 2081/09/17),2025-01-01 13:58:00
समाजसेवी तथा बालमनोविज्ञ सुचिकृत हुने समबन्धमा,2025-01-01 12:41:00
Invitation for Bids  IFB No: 15/PMC/081-082,2024-12-31 13:37:00
"नदीजन्य सामाग्री (घाटगद्धि) ढुंगा, गिट्टी, वालुवा, दहत्तर बहत्तर आदिको बिक्रि शुल्क संकलन गर्ने सम्बन्धि दोश्रो पटक प्रकाशित सूचना",2024-12-31 10:07:00
गरिव परिवार पहिचान तथा परिचयपत्र वितरण सम्बन्धी गुनासो सुनुवाई सूचना,2024-12-20 14:45:00
Invitation for Bids  IFB No: 13/PMC/081-082,2024-12-20 14:42:00
छात्रवृतिका लागि आवेदन पेश गर्ने समबन्धमा सूचना,2024-12-19 15:25:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री अम्बिका मा.वि),2024-12-17 12:00:00
Invitation for Bids  IFB No: 12/PMC/081-082,2024-12-13 16:54:00
Invitation for Bids  IFB No: 11/PMC/081-082,2024-12-13 16:54:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री वाराही मा.वि),2024-12-13 16:51:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शुक्रराज मा.वि),2024-12-13 16:51:00
पोखरा महानगरपालिका परिसर भित्रको क्यान्टिन सञ्चालन गर्ने सम्बन्धी बोलपत्र आब्हानको सूचना (सचूना नं. - 2/PMC/Rev/081-082),2024-12-08 10:38:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शितलादेवी मा.वि),2024-12-04 12:08:00
Invitation for Bids  IFB No: 10/PMC/081-082,2024-12-03 14:15:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री जनप्रिय मा.वि),2024-12-03 12:15:00
वृहत सरसफाई कार्यक्रम संचालन समबन्धमा,2024-12-01 15:02:00
महिलाहरुद्वारा संचालित सहकारी संस्थाहरुलाई प्रस्ताव पेश गर्ने सम्बन्धमा सूचना,2024-12-01 12:25:00
"Invitation for Bids  IFB No: 5,9/PMC/081-082",2024-11-25 16:13:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री जनज्योति मा.वि),2024-11-25 16:11:00
Invitation for Bids  IFB No: 8/PMC/081-082,2024-11-22 08:21:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री वालमन्दिर मा.वि),2024-11-22 08:20:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री कालिका मा.वि),2024-11-22 08:19:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री विष्णु पादुका मा. वि.),2024-11-22 08:18:00
विपन्न लक्षित छात्रवृत्तिका लागि फारम भराउने समबन्धमा ( सम्पूर्ण सामुदायिक विद्यालय ),2024-11-22 08:14:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री सरस्वती आ. वि.),2024-11-19 15:02:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री विन्दवासिनी  मा. वि.),2024-11-19 15:02:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री रामज्योती मा. वि.),2024-11-19 15:01:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री कालिका मा. वि.),2024-11-17 14:46:00
उमेदवार सिफारिस सम्बन्धी सूचना,2024-11-15 16:43:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री गौरीशंकर मा. वि.),2024-11-15 15:21:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री नवप्रभात मा. वि.),2024-11-15 15:20:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री विन्धेश्वरी मा. वि.),2024-11-11 19:22:00
अन्तर्वार्ताको लागि बार संशोधित सुचना ( लिखित परिक्षामा उतिर्ण भएकाहरुको लागि ),2024-11-08 10:49:00
लिखित परिक्षाको नतिजा प्रकाशन समबन्धी सूचना,2024-11-07 17:15:00
(मिति २०८१ श्रावण देखि असोज सम्म) स्वतः प्रकाशन सूचनाकाो हक सम्बन्धी ऐन २०६४ को दफा ५ (३) र नियमावली २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको सूचना,2024-10-31 07:55:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री बालकल्याण आधारभूत .वि.),2024-10-31 07:55:00
सेवा करारमा ब्रुमर चालक भर्ना सम्बन्धी सूचना,2024-10-29 13:30:00
प्लाष्टिकको फुल गुच्छा बिक्री बितरण रोक लगाएको सम्बन्धमा सूचना,2024-10-29 12:25:00
खाद्य पदार्थमा रंग प्रयोग सम्बन्धी सुचना,2024-10-29 12:24:00
लागुऔषध पुनर्स्थापना केन्द्रहरुलाई प्रस्ताव पेश गर्ने सम्बन्धी सूचना |,2024-10-23 16:57:00
महिला विकास सहकारी संस्थाहरुलाई प्रस्ताव पेश गर्ने समबन्धी सूचना,2024-10-23 12:42:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शुक्रराज बलभद्र मा .वि.),2024-10-20 15:21:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री भारती भवन  मा .वि.),2024-10-15 12:36:00
लिखित परीक्षा सम्बन्धित सूचना! (रोजगार प्रवर्द्धन कार्यक्रम),2024-10-08 18:48:00
"खसी , बोका , च्याङग्रा लगायतका चौपायाहरुको बिक्री व्यवस्थापन सम्बन्धी सूचना",2024-10-07 16:21:00
खानेपानी मूलदर्ता दावी बिरोध संबन्धित सार्वजनिक सूचना,2024-10-04 10:49:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री आर्वा बिजय मा .वि.),2024-10-01 16:31:00
किसान सूचीकरण सहजकर्ता सेवा करारको लागि दरखास्त आव्हान समबन्धी सूचना,2024-09-29 08:39:00
पोखरा महानगरपालिका पशु प्रवर्द्धन कार्यक्रम सञ्चालनको लागि आवेदन प्रस्ताव पेस गर्ने सम्बन्धी सूचना!,2024-09-25 12:21:00
सूचना सच्याइएको सम्बन्धमा,2024-09-19 20:47:00
भू- उपयोग वर्गीकरण सम्बन्धी सूचना,2024-09-17 15:11:00
निशुल्क सिप मुलक तालिम सम्बन्धमा,2024-09-16 15:15:00
लेखा परिक्षण गर्न ईच्छुक रजिष्टर लेखापरिक्षकहरुले निबेदन गर्ने सम्बन्धी सूचना,2024-09-13 19:31:00
टि पी डी तालिम सम्बन्धमा (सबै सामुदायिक विद्यालयहरु),2024-09-11 11:15:00
दीर्घ सेवा सम्मान समबन्धमा ( सामुदायिक विद्यालय सबै ),2024-09-06 12:28:00
दीर्घ सेवा सम्मान समबन्धमा ( संस्थागत विद्यालय सबै ),2024-09-06 12:27:00
ESIA of Talchowk-Begnas Road,2024-09-05 12:10:00
सेवा करारमा पदपूर्ति सम्बन्धी सूचना,2024-09-02 12:05:00
वैदेशिक रोजगार सन्तती छात्रवृत्ति कार्यक्रममा सहभागि हुने बारे सूचना,2024-08-26 18:59:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री महेन्द्र मा .वि.),2024-08-25 15:26:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शिद्ध बराह आधारभूत विद्यालय ),2024-08-23 10:55:00
कृषि विकास शाखाको आ.ब. २०८१/८२ को कार्यक्रमको लागि आवेदन समबन्धी सूचना,2024-08-20 15:16:00
अनुदानको रासायनिक मलको मूल्य सुची (२०८१/८२),2024-08-04 14:36:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शान्ति उदय मा .वि.),2024-08-02 14:19:00
आन्तरिक प्रतिस्पर्धाबाट स्थायी पदपूर्ति सम्बन्धी सूचना ( नगर प्रहरी निरिक्षक),2024-08-01 18:06:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री रामेश्वरी मा .वि.),2024-07-31 15:10:00
"सूचनाको हक सम्बन्धी ऐन,२०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को  नियम ३ बमोजिम सार्वजनिक गरिएको सूचना विवरण (सूचना सार्वजनिक गरेको अवधिः २०८१ बैशाख देखि २०८१ असार सम्म)",2024-07-29 16:58:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री शान्ति मा .वि.),2024-07-29 16:03:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री ताल बाराही मा .वि.),2024-07-24 14:04:00
विषय विज्ञ शिक्षक सुचिकृत सम्बन्धमा,2024-07-23 13:31:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री कालिका मा .वि.),2024-07-21 11:01:00
राजश्व संकलन कार्य बन्द रहने सम्बन्धमा,2024-07-15 18:57:00
आ.व.२०८०/ ०८१ को सम्पत्ति विवरण तथा का.स.मू. फारम भर्ने बारे,2024-07-15 14:01:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री अमर ज्योति गाउफर्क मा .वि.),2024-07-15 13:13:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री    शान्ति  उदय  मा .वि.),2024-07-10 11:22:00
नतिजा प्रकाशन सम्वन्धमा,2024-07-07 11:21:00
"स्थानीय सेवा ( गठन तथा संचालन )ऐन , २०७९ बमोजिम स्तरवृद्धि गर्ने सूचना",2024-07-04 15:36:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री महेन्द्र मा.वि.),2024-07-02 13:38:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री विन्दवासिनी मा.वि.),2024-07-01 18:18:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री भुलभुला आधारभूत विद्यालय ),2024-06-28 14:59:00
शैक्षिक सत्र २०८१ मा कक्षा ११ को भर्ना सम्बन्धी विद्यालयहरूलाई सूचना ।,2024-06-27 13:32:00
कक्षा ११-१२ मा छात्रवृत्तिमा अध्ययनको लागि आवेदन पेश गर्ने अत्यन्त जरुरी सूचना,2024-06-27 13:29:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री छोरेपाटन मा.वि.),2024-06-25 09:35:00
आर्थिक वर्ष २०८१-८२ को वार्षिक निति तथा कार्यक्रम,2024-06-23 16:13:00
वडा नं. ९ को सार्वजनिक सुनुवाई समबन्धी सूचना,2024-06-21 13:00:00
नदीजन्य सामाग्रीहरुको उत्खनन र निकासी बन्द गरिएको सार्वजनिक सूचना ।,2024-06-13 16:42:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री जनचेतन मा.वि.),2024-06-11 15:41:00
विद्यार्थी Transfer/Accept सम्वन्धमा ।,2024-06-11 12:38:00
पोखरा महानगरपालिकाको सूचना ( राष्ट्रिय परिचय पत्र Enrollment Station  सम्बन्धी),2024-06-07 15:43:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना ( श्री आनन्द ज्योति मा.वि.),2024-06-05 13:41:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना,2024-06-04 16:25:00
नवजात शिशुको संरक्षकत्व ग्रहण सम्बन्धमा,2024-06-04 14:32:00
रिक्त पदमा स्थायी शिक्षक सरुवा समबन्धी सूचना,2024-06-03 14:56:00
श्रमाधान रोजगार मेला २०८१ मा सहभागी हुने बारे सूचना !,2024-05-31 16:30:00
नवशिशुको हकदाबी गर्ने सम्बन्धी सूचना,2024-05-30 17:17:00
IEMIS अध्यावधिक गर्ने सम्वन्धमा ।,2024-05-27 14:23:00
आ.व्. ०८१/८२ को लागि बजेट तथा कार्यक्रम पेश गर्ने समबन्धमा (गैरसरकारी  संघसंस्थाहरु सबै ),2024-05-19 09:54:00
प्रस्ताव पेश गर्ने सम्बन्धी सुचना (रोजगार शाखा),2024-05-18 05:44:00
विशेष परिपत्र ( महानगर स्थित सबै सामुदायिक तथा संस्थागत विद्यालयहरु ),2024-05-14 11:04:00
प्रस्ताव पेश गर्ने समबन्धमा (शिक्षा महाशाखा),2024-05-13 13:24:00
भवन नियमित तथा अभिलेखिकरण सम्बन्धी सूचना,2024-05-12 12:25:00
सार्वजनिक सुनुवाई सम्बन्धी सूचना,2024-05-08 20:28:00
सूचनाकाे हक सम्बन्धी एेन र सूचनाकाे हक सम्बन्धी नियमावली बमाेजिम सार्वजनिक गरिएकाे सूचना,2024-04-29 10:52:00
महानगरस्तरीय कक्षा ८ ग्रेड वृद्धि परीक्षाको नतिजा प्रकाशन वारे ।,2024-04-25 18:54:00
सामुदायिक विद्यालयमा प्राविधिक शिक्षा संचालन माग गर्ने सम्बन्धी सूचना,2024-04-25 14:01:00
विपन्न लक्षित छात्रवृत्ति सम्बन्धी PMT फारम सम्बन्धी विद्यालयहरूलाइ  सूचना,2024-04-25 11:28:00
परिक्षा केन्द्र तोकिएको बारे,2024-04-18 13:17:00
पुनर्योगको नतिजा प्रकाशन समबन्धमा,2024-04-18 13:15:00
स्वयंसेवक आवश्यकता समबन्धी सूचना,2024-04-16 06:23:00
युवा स्वरोजगार कोष परिचालनमा ५०/५० लागत साझेदारी समबन्धमा,2024-04-16 06:21:00
"ESMP of Dobilla-Bagmara-Puditar Road, Pokhara",2024-04-15 13:57:00
"ESMP of Sishuwa Sishaghat Road, Pokhara",2024-04-15 13:53:00
Invitations for Bid (IFB No: 41/PMC/080-81),2024-04-14 16:19:00
कक्षा ८ परीक्षा २०८०  ग्रेडवृद्धि परीक्षा  तथा पुनर्योग सम्वन्धी सूचना,2024-04-10 14:02:00
राष्ट्रिय विभूति पार्कमा पर्यटक प्रवेश शुल्क संकलन सम्बन्धी बोलपत्र,2024-04-09 16:03:00
बोलपत्र आव्हान सम्बन्धी सूचना  ( सूचना नं. : 28.1/PMC-Re/080-81),2024-04-09 16:00:00
मागमा आधारित तालिम सन्चालनको लागि निवेदन स‌कलन सम्बन्धमा,2024-04-07 05:33:00
पोखरा महानगरपालिकाको सार्वजनिक ढांक बढाबढ गर्ने सम्बन्धी सूचना,2024-04-04 09:51:00
Invitation for Bids  (IFB No: 34/PMC/080-081),2024-04-04 09:48:00
"NOTICE OF INTENT (Upgrading of Lamachour Puranchour Machhapuchhre Road, PMC - 19 )",2024-04-04 09:46:00
Invitation for Bids  (IFB No: 35/PMC/080-081),2024-04-04 09:44:00
आर्थिक प्रस्ताव खोल्ने सम्बन्धी सूचना (24.2/PMC/080-81),2024-04-04 09:43:00
Intent to Aaward Notice of WB Project (Sishuwa - Sishaghat Road),2024-04-04 09:39:00
पोखरा महानगरपालिकाभित्र  ५० % अनुदानमा बर्षे धान वितरण कार्यक्रम सम्बन्धी सूचना,2024-04-04 09:34:00
दोस्रो पञ्चवर्षीय योजना अवधारणा पत्र (आ.व. ८१/८२ - ८५/८६ ),2024-03-31 20:42:00
Pokhara Waste Water Management Project (Public Awareness Video),2024-03-26 15:22:00
Invitation for Bids ( IFB No: 32/PMC/080-081),2024-03-25 11:00:00
NOTICE OF INTENT (Contract ID: 76/PMC/NCB/W/080-81),2024-03-25 10:58:00
पोखरा महानगरपालिकाको सार्वजनिक डांक बढाबढ समबन्धी सूचना,2024-03-22 13:15:00
बोलपत्र आव्हान समबन्धी सूचना (सूचना न :28.1/PMC/080-81),2024-03-22 13:09:00
आर्थिक प्रस्ताव खोल्ने समबन्धी सूचना (RFB No: NP-DUDBC-396306-CW-RFB),2024-03-20 11:29:00
NOTICE OF INTENT  (Date of Publication 2080/12/07),2024-03-20 11:27:00
आर्थिक प्रस्ताव खोल्ने समबन्धी सूचना ( 18.10/PMC-Re/080-81),2024-03-20 11:25:00
मासिक खर्च विवरण (२०८० फाल्गुण),2024-03-20 11:20:00
आर्थिक वर्ष २०७९-८० आय तथा खर्च विवरण,2024-03-18 16:51:00
Notice of Extension of EOI Submission Deadline - URLIP,2024-03-16 13:15:00
